,2019-11-03,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-09,2019-11-10,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-16,2019-11-17,2019-11-18,2019-11-19,2019-11-20,2019-11-21,2019-11-22,2019-11-23,2019-11-25,2019-11-26,2019-11-27,2019-11-28,2019-11-29,2019-11-30,2019-12-01,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-14,2019-12-15,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-21,2019-12-22,2019-12-23,2019-12-24,2019-12-25,2019-12-26,2019-12-27,2019-12-28,2019-12-29,2019-12-30,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19
EOS Knights,562.01,563.08,572.15,572.56,575.02,584.42,585.59,587.65,589.17,596.87,598.75,599.18,599.3,599.53,623.66,624.07,624.17,624.25,624.81,624.9,625.22,626.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Video Poker,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9800.0,9800.0,9900.0,9800.0,9800.0,9800.0,9700.0,9800.0,9700.0,9700.0,9700.0,9700.0,9700.0,9700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,175.0,155.0,2700.0,2700.0,2700.0,2700.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2500.0,2600.0,2700.0,2700.0,2700.0,2600.0,2600.0,2600.0,2800.0,2800.0,2900.0,2800.0
CryptoDozer,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,,1100.0,1100.0,1100.0,1100.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,,,,,,1200.0,1200.0,1200.0,1200.0,,,,,1300.0,,1300.0,1300.0,1300.0,1300.0,1300.0,,1300.0,,,,,,,,,,,1400.0,1400.0,,,,,,,1400.0,
EOS Royale,4800.0,4800.0,4500.0,5000.0,4900.0,4700.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4200.0,4300.0,4200.0,4500.0,4500.0,4500.0,4500.0,4300.0,4200.0,4200.0,4200.0,4200.0,3800.0,3800.0,3600.0,3800.0,,3800.0,3800.0,3600.0,3500.0,3500.0,3500.0,3500.0,3600.0,,3600.0,,,,3400.0,,,,,,,,,,,,,,,,3800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon7,3200000.0,3200000.0,3200000.0,3200000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3700000.0,3700000.0,159500.0,212500.0,326600.0,503600.0,541800.0,558100.0,637100.0,640700.0,643400.0,370300.0,529600.0,563800.0,575200.0,573300.0,577300.0,601400.0,610900.0,615000.0,624400.0,327900.0,302600.0,342500.0,325400.0,425000.0,390700.0,440500.0,481100.0,508400.0,495100.0,502000.0,468900.0,489500.0,510600.0,530700.0,545400.0,466000.0,526700.0,521600.0,514700.00000000006,420600.0,431200.0,461000.0,480900.0,520200.00000000006,567900.0,583800.0,648200.0,591600.0,613100.0,641300.0,265500.0,232300.0,246400.0,248400.0,244600.0,235200.0,283300.0,289000.0,,,,484000.0,471000.0,579900.0,560900.0,594600.0,678600.0,806900.0,797600.0,997200.0,1100000.0,1100000.0,1300000.0,1200000.0,1200000.0,1100000.0,1100000.0,1100000.0,1100000.0,1200000.0,1200000.0,1200000.0,483700.0,497500.0,495000.0,,,526800.0,629100.0,427500.0,427500.0,427500.0,427500.0,427500.0
0xUniverse,17.48,10.26,9.81,9.45,9.19,8.07,7.28,6.63,7.58,7.08,7.15,7.39,21.83,20.77,20.04,19.25,19.2,18.69,18.78,18.54,18.05,18.43,,18.43,18.95,,19.1,19.87,24.96,24.88,24.9,24.93,25.1,24.97,24.41,24.44,24.44,24.44,,24.44,24.44,24.44,24.44,22.66,,,,19.76,19.07,9.54,9.49,9.29,,9.49,9.4,9.4,42.08,41.97,41.98,42.04,42.19,42.2,42.26,42.34,42.26,42.25,42.27,42.37,42.44,,43.0,42.72,33.24,32.13,32.75,28.17,28.71,29.93,44.38,23.1,23.54,23.78,24.68,25.09,25.67,25.89,26.39,26.5,26.43,26.73,,,,,27.66,27.65,27.52,27.77,29.32,28.77,28.52,,28.34,28.69,29.01
Planet BOOM!,5000000.0,2200000.0,368300.0,314000.0,204900.0,180100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOLOrekt,4.28,4.14,4.09,3.8,3.13,3.13,3.03,3.0,3.18,3.06,2.95,2.8,2.62,2.43,2.45,2.26,2.47,2.28,2.17,2.08,1.94,2.01,,1.82,,,,1.76,,1.52,,1.26,1.03,,,0.98,,,,,,0.98,0.98,,,0.49,,0.76,,0.61,,0.45,,,,,,,1.34,0.48,0.46,0.42,,0.22,0.3,0.1,0.28,0.13,,,0.18,0.26,0.07,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,
Slots,415000.0,415000.0,416300.0,417100.0,417400.0,417800.0,417900.0,418000.0,418300.0,,,,,,,,,,420000.0,421800.0,424100.0,427000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen Vs King,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16400.0,16600.0,16500.0,16600.0,16600.0,16600.0,16500.0,16600.0,16600.0,16600.0,16500.0,16500.0,,16500.0,16500.0,16500.0,16500.0,16500.0,16400.0,,,,,,16400.0,,,,,,,,,,,16300.0,,16300.0,,,,,,,,,,16200.0,16200.0,6300.0,6300.0,6300.0,6200.0,83.78222199999999,67.78222199999999,79.78222199999999,41.782222,53.782222,55.782222,,26.782221999999997,,,26.782221999999997,22.782222,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,1900.0,,,1900.0,1900.0,,,,,,,
TronFund.io,765800.0,755900.0,753300.0,663200.0,242700.0,204400.0,204700.0,203800.0,204200.0,204400.0,204700.0,205200.0,205400.0,205600.0,205700.0,206000.0,206400.0,206500.0,206700.0,207000.0,207400.0,218600.0,219100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperDragons Go,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
Baccarat Live,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,14900.0,14900.0,14900.0,14900.0,14900.0,14900.0,14900.0,14900.0,14900.0,14900.0,14900.0,14800.0,,,,,,,14800.0,,,,,,,14700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.67,64.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
